Ticker;Preco;LPA;VPA;Div_Yield_%;ROE_%;ROIC_%;EV_EBIT;Crescimento_5a_%;Margem_Liquida_%;Liquidez_Corrente;Origem
AGRO3;19.82;-0.0154;20.2245;3.8;-0.08;0.67;141.93;-11.84;-0.15;1.61;BRAPI/Fundamentus
AMOB3;13.69;-7.522;52.6538;0.0;-14.14;4.39;11.67;124.76;-2.23;1.41;BRAPI/Fundamentus
B3SA3;19.25;0.9089;3.456;3.28;26.29;20.37;14.56;2.02;41.24;1.91;BRAPI/Fundamentus
BBAS3;24.28;3.1656;32.3733;3.43;9.83;0.0;0.0;-3.37;0.0;0.0;BRAPI/Fundamentus
BBDC3;18.06;2.3184;16.2703;7.58;14.25;0.0;0.0;0.34;0.0;0.0;BRAPI/Fundamentus
BBSE3;35.28;4.6421;5.3455;13.24;86.84;0.0;0.0;0.0;0.0;0.0;BRAPI/Fundamentus
BRSR6;16.1;3.9268;27.2881;9.96;14.36;0.0;0.0;8.09;0.0;0.0;BRAPI/Fundamentus
CMIG3;18.56;1.7106;9.9785;5.57;17.14;10.19;11.19;6.43;11.46;1.0;BRAPI/Fundamentus
CXSE3;19.03;1.4308;4.5202;6.84;31.67;-1.14;-370.79;0.0;0.0;1.7;BRAPI/Fundamentus
EGIE3;37.42;2.261;11.1701;3.59;20.25;10.76;12.4;-0.09;22.22;1.12;BRAPI/Fundamentus
EQTL3;45.06;1.3327;20.4818;5.05;6.52;10.5;10.19;22.67;4.81;1.49;BRAPI/Fundamentus
EZTC3;16.18;1.9035;17.9778;6.88;10.64;6.18;13.6;13.04;36.54;8.33;BRAPI/Fundamentus
FLRY3;16.68;1.1202;9.1648;6.47;12.25;12.15;9.82;22.95;7.2;1.97;BRAPI/Fundamentus
GMAT3;4.66;0.7952;4.5243;3.96;17.65;11.93;5.45;24.06;4.83;1.75;BRAPI/Fundamentus
ITSA4;14.74;1.4696;7.9247;8.32;18.58;0.25;642.1;-0.11;200.63;3.18;BRAPI/Fundamentus
KEPL3;8.16;0.8699;4.3175;5.3;20.18;14.29;9.32;2.72;10.49;1.96;BRAPI/Fundamentus
KLBN3;3.77;0.2689;1.2651;8.68;21.28;8.79;11.51;4.46;8.11;2.06;BRAPI/Fundamentus
LEVE3;37.01;4.4915;6.3591;7.35;70.65;35.92;6.57;9.21;11.26;1.27;BRAPI/Fundamentus
PETR3;51.74;8.538;32.3375;4.88;26.49;17.43;5.07;-0.78;22.23;0.71;BRAPI/Fundamentus
PRIO3;61.63;2.5808;29.488;0.0;8.73;3.94;34.25;39.72;14.45;1.82;BRAPI/Fundamentus
PSSA3;55.41;5.2274;24.3026;5.38;21.48;77.44;0.7;16.78;8.38;1.25;BRAPI/Fundamentus
RAIZ4;0.54;-2.16;-0.1543;0.0;1393.79;0.89;81.55;2.16;-9.61;1.69;BRAPI/Fundamentus
RANI3;8.94;1.0505;6.2958;6.73;16.67;15.38;6.88;0.62;14.35;2.77;BRAPI/Fundamentus
SAPR4;8.14;1.375;8.14;4.91;16.84;9.65;7.17;8.75;28.86;1.2;BRAPI/Fundamentus
SBFG3;13.17;1.3411;12.5429;4.15;10.72;7.68;9.6;10.1;4.24;1.36;BRAPI/Fundamentus
SMTO3;16.49;2.3128;21.9867;2.77;10.53;5.61;12.65;7.48;11.09;2.87;BRAPI/Fundamentus
SOJA3;7.06;0.1409;9.4133;4.01;1.5;4.55;11.84;20.68;3.86;6.77;BRAPI/Fundamentus
SUZB3;47.8;10.5987;34.6377;0.0;30.6;7.35;12.85;3.6;26.81;3.19;BRAPI/Fundamentus
TAEE11;45.86;4.586;22.0481;7.04;20.76;10.61;11.42;9.69;34.17;1.57;BRAPI/Fundamentus
TTEN3;16.02;1.6297;9.3684;1.13;17.37;7.46;17.67;33.23;4.92;1.36;BRAPI/Fundamentus
VAMO3;4.57;0.3084;2.4053;3.12;12.83;15.26;6.29;14.8;5.71;1.81;BRAPI/Fundamentus
VIVT3;41.01;1.9119;21.2487;2.5;8.98;8.6;15.24;7.85;10.37;1.0;BRAPI/Fundamentus
WEGE3;48.48;1.5193;4.1507;4.47;36.61;27.06;22.78;14.31;16.61;1.55;BRAPI/Fundamentus
GOOGL;359.91;13.1;39.514;24.0;38.885;35.11;26.84;29.82;37.92;1.9224;YF + Finnhub
AMZN;242.67;7.67;41.093;0.0;24.285;18.98;17.342;27.96;12.22;1.1772;YF + Finnhub
NVDA;194.83;6.53;8.07;51.0;114.288;105.41;28.242;95.27;62.97;3.4408;YF + Finnhub
TSM;434.16;11.51;4.4422;88.0;36.21;30.84;5.52;27.1;47.0;2.4883;YF + Finnhub
ASML;1769.32;29.37;1.1045;50.0;52.236;37.09;2981.442;24.38;31.26;1.2374;YF + Finnhub
AVGO;360.45;6.02;18.43;72.0;37.281;20.13;41.825;46.63;38.85;2.238;YF + Finnhub
IRS;15.81;3.17;17.515;1517.0;22.481;14.88;3.927;26.57;43.39;1.6058;YF + Finnhub
TSLA;393.45;1.1;21.897;0.0;4.901;4.34;130.658;38.32;3.95;2.0431;YF + Finnhub
